Site,Type,Transect,Repetition,Genus,Spp,N_ind,N_juv,N_ad,N_m,N_f,Angle,Dis
Ambodivoara,Nocturnal,2,26,Cheirogaleus,crossleyi,NA,NA,1,NA,NA,0.698131701,30
Ambodivoara,Nocturnal,2,23,Cheirogaleus,crossleyi,NA,NA,1,NA,NA,1.570796327,8
Androfiabe,Nocturnal,1,7,Cheirogaleus,crossleyi,1,0,1,NA,NA,0.523598776,6
Androfiabe,Nocturnal,1,7,Microcebus,lehilahytsara,1,0,1,NA,NA,0.523598776,10
Androfiabe,Nocturnal,1,8,Cheirogaleus,crossleyi,1,0,1,NA,NA,0.785398163,13
Androfiabe,Nocturnal,2,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Ambodivoara,Nocturnal,3,21,Cheirogaleus,crossleyi,NA,NA,1,NA,NA,0,0
Ambodivoara,Nocturnal,3,19,Lepilemur,seali,NA,NA,1,NA,NA,4.188790205,10
Androfiabe,Nocturnal,1,5,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,1,5,Lepilemur,seali,2,0,2,NA,NA,0.34906585,10
Androfiabe,Nocturnal,2,7,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,
Androfiabe,Nocturnal,3,5,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,11
Androfiabe,Nocturnal,3,6,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,2,8,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,2,5,Lepilemur,seali,1,0,1,1,0,0,0
Androfiabe,Nocturnal,3,7,Microcebus,lehilahytsara,1,0,1,NA,NA,1.570796327,3
Androfiabe,Nocturnal,1,5,Microcebus,lehilahytsara,1,0,1,NA,NA,1.570796327,5
Androfiabe,Nocturnal,1,6,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,15
Androfiabe,Nocturnal,1,6,Avahi,laniger,2,1,2,NA,NA,1.570796327,2
Ambodivoara,Nocturnal,1,23,Microcebus,lehilahytsara,NA,NA,1,NA,NA,0.698131701,5
Androfiabe,Nocturnal,1,8,Avahi,laniger,1,0,1,NA,NA,0,0
AmbodivohitraKobahina,Nocturnal,3,1,Avahi,laniger,2,0,1,1,1,0,0
AmbodivohitraKobahina,Nocturnal,3,3,Lepilemur,seali,1,0,NA,NA,NA,1.396263402,4
Ambodivoara,Nocturnal,3,10,Allocebus,trichotis,1,0,1,0,0,1.570796327,15
Ambodivoara,Nocturnal,1,15,Allocebus,trichotis,1,0,0,0,0,1.570796327,15
AmbodivohitraKobahina,Nocturnal,3,1,Lepilemur,seali,2,0,1,1,1,1.047197551,10
AmbodivohitraKobahina,Nocturnal,1,3,Microcebus,mittermieiri,1,0,NA,NA,NA,1.570796327,5
AmbodivohitraKobahina,Nocturnal,3,3,Microcebus,mittermieiri,1,0,NA,NA,NA,1.570796327,7
Ambodihasina,Nocturnal,2,1,Cheirogaleus,crossleyi,1,NA,1,NA,NA,0.523598776,10
Betaolana,Nocturnal,2,3,Microcebus,mittermeieri,1,0,1,NA,NA,1.221730476,10
Androfiabe,Nocturnal,1,3,Lepilemur,seali,1,0,1,NA,NA,1.047197551,25
Ambodihasina,Nocturnal,2,3,Cheirogaleus,crossleyi,1,NA,NA,NA,NA,0.785398163,30
Androfiabe,Nocturnal,1,3,Avahi,laniger,2,0,2,1,1,1.047197551,5
Ambodihasina,Nocturnal,3,2,Cheirogaleus,crossleyi,2,NA,NA,NA,NA,1.221730476,25
Ambodivoara,Nocturnal,2,18,Lepilemur,seali,1,0,1,0,0,4.71238898,7
Ambodivoara,Nocturnal,4,17,Allocebus,trichotis,1,0,1,NA,NA,NA,NA
Ambodihasina,Nocturnal,3,3,Cheirogaleus,crossleyi,2,NA,NA,NA,NA,0.698131701,20
AmbodivohitraKobahina,Nocturnal,3,3,Lepilemur,seali,1,0,NA,NA,NA,0,0
Ambodihasina,Nocturnal,1,2,Cheirogaleus,crossleyi,1,NA,1,NA,NA,1.221730476,9
Androfiabe,Nocturnal,3,2,Microcebus,mittermeieri,1,0,1,NA,NA,1.396263402,6
Ambodihasina,Nocturnal,1,1,Allocebus,trichotis,1,NA,1,NA,NA,0.872664626,6
Betaolana,Nocturnal,2,1,Microcebus,mittermeieri,1,0,1,NA,NA,0.785398163,8
Ambodimandresy,Nocturnal,1,3,Avahi,laniger,1,NA,1,NA,NA,0.34906585,25
AmbodivohitraKobahina,Nocturnal,3,1,Microcebus,mittermieiri,1,0,NA,NA,NA,2.268928028,7
AmbodivohitraKobahina,Nocturnal,3,3,Allocebus,trichotis,1,0,NA,NA,NA,1.221730476,15
Ambodihasina,Nocturnal,3,1,Cheirogaleus,crossleyi,1,NA,1,NA,NA,1.221730476,15
Androfiabe,Nocturnal,3,2,Microcebus,mittermeieri,1,0,1,NA,NA,1.396263402,8
AmbodivohitraKobahina,Nocturnal,2,2,Cheirogaleus,crossleyi,1,0,NA,NA,NA,0.785398163,25
Ambodihasina,Nocturnal,3,3,Cheirogaleus,crossleyi,1,NA,NA,NA,NA,1.047197551,5
Ambodivoara,Nocturnal,2,1,Cheirogaleus,crossleyi,1,0,1,0,0,0.698131701,20
Ambodihasina,Nocturnal,2,2,Cheirogaleus,crossleyi,2,NA,NA,NA,NA,1.396263402,25
Betaolana,Nocturnal,2,1,Allocebus,trichotis,1,0,1,NA,NA,1.047197551,6
Ambodivoara,Nocturnal,2,3,Cheirogaleus,crossleyi,1,0,1,0,0,1.221730476,25
Ambodivoara,Nocturnal,1,14,Cheirogaleus,crossleyi,1,0,0,0,0,NA,NA
Ambodimandresy,Nocturnal,3,1,Microcebus,mittermeieri,1,NA,1,NA,NA,1.396263402,0.5
Ambodimandresy,Nocturnal,3,2,Avahi,laniger,1,NA,1,NA,NA,0.261799388,4
Ambodimandresy,Nocturnal,3,1,Microcebus,mittermeieri,1,NA,NA,NA,NA,0.261799388,15
Ambodimandresy,Nocturnal,3,1,Microcebus,mittermeieri,1,NA,NA,NA,NA,0.523598776,12
Ambodimandresy,Nocturnal,3,1,Microcebus,mittermeieri,1,NA,NA,NA,NA,1.396263402,8
Ambodivoara,Nocturnal,1,24,Lepilemur,seali,NA,NA,2,NA,NA,0,0
Ambodivoara,Nocturnal,2,25,Microcebus,lehilahytsara,NA,NA,1,NA,NA,1.396263402,10
Androfiabe,Nocturnal,3,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,1,7,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,1,7,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.221730476,12
Androfiabe,Nocturnal,2,4,Lepilemur,seali,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,1,6,Allocebus,trichotis,1,0,1,NA,NA,1.570796327,8
Androfiabe,Nocturnal,3,8,Cheirogaleus,crossleyi,2,0,2,NA,NA,0.785398163,30
Ambodivoara,Nocturnal,3,20,Cheirogaleus,crossleyi,NA,NA,1,NA,NA,1.570796327,30
Androfiabe,Nocturnal,1,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,30
Ambodivoara,Nocturnal,2,26,Cheirogaleus,crossleyi,NA,NA,1,NA,NA,0,0
Ambodivoara,Nocturnal,1,23,Microcebus,lehilahytsara,NA,NA,1,NA,NA,5.585053606,6
Androfiabe,Nocturnal,3,5,Cheirogaleus,crossleyi,1,1,1,NA,NA,0,0
Androfiabe,Nocturnal,1,8,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,3,8,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,11
Androfiabe,Nocturnal,2,8,Lepilemur,seali,1,0,1,NA,NA,1.570796327,3
Androfiabe,Nocturnal,3,6,Microcebus,lehilahytsara,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,3,7,Allocebus,trichotis,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,3,5,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Ambodivoara,Nocturnal,1,22,Lepilemur,seali,NA,NA,1,NA,NA,1.047197551,7
Ambodivoara,Nocturnal,3,20,Allocebus,trichotis,NA,NA,1,NA,NA,1.396263402,20
Androfiabe,Nocturnal,1,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,1,7,Avahi,laniger,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,2,8,Lepilemur,seali,1,0,1,NA,NA,1.570796327,6
Androfiabe,Nocturnal,3,4,Microcebus,lehilahytsara,1,0,1,NA,NA,1.570796327,10
Androfiabe,Nocturnal,3,4,Microcebus,lehilahytsara,1,0,1,NA,NA,0.523598776,3
Androfiabe,Nocturnal,1,6,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,1,8,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,15
Androfiabe,Nocturnal,2,5,Lepilemur,seali,2,0,2,NA,NA,1.570796327,10
Androfiabe,Nocturnal,1,4,Avahi,laniger,3,1,2,NA,1,1.570796327,2
Androfiabe,Nocturnal,2,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,30
Androfiabe,Nocturnal,2,8,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,20
Androfiabe,Nocturnal,2,5,Microcebus,lehilahytsara,1,0,1,NA,NA,1.570796327,22
Androfiabe,Nocturnal,2,5,Allocebus,trichotis,1,0,1,NA,NA,1.047197551,12
Androfiabe,Nocturnal,3,5,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,2,4,Lepilemur,seali,1,0,1,1,0,1.570796327,4
Androfiabe,Nocturnal,3,7,Avahi,laniger,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,3,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,8
Androfiabe,Nocturnal,2,4,Lepilemur,seali,1,0,1,NA,NA,1.570796327,20
Androfiabe,Nocturnal,3,5,Allocebus,trichotis,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,3,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,23
Androfiabe,Nocturnal,3,5,Avahi,laniger,3,1,2,1,1,1.570796327,20
Androfiabe,Nocturnal,3,8,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,20
Androfiabe,Nocturnal,3,8,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,28
Ambodivoara,Nocturnal,4,22,Lepilemur,seali,NA,NA,1,NA,NA,1.570796327,20
Androfiabe,Nocturnal,3,7,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,15
Androfiabe,Nocturnal,3,5,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.047197551,22
Androfiabe,Nocturnal,1,8,Allocebus,trichotis,1,0,1,NA,NA,1.570796327,5
Androfiabe,Nocturnal,3,7,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,12
Androfiabe,Nocturnal,1,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,3,5,Microcebus,lehilahytsara,1,0,1,NA,NA,0.785398163,5
Androfiabe,Nocturnal,2,5,Avahi,laniger,1,0,1,NA,NA,1.570796327,2
Androfiabe,Nocturnal,2,5,Microcebus,lehilahytsara,1,0,1,NA,NA,0.785398163,5
Androfiabe,Nocturnal,3,5,Cheirogaleus,crossleyi,1,0,1,NA,NA,1.570796327,24
Androfiabe,Nocturnal,3,4,Microcebus,lehilahytsara,1,0,1,NA,NA,1.570796327,15
Androfiabe,Nocturnal,3,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,0,0
Androfiabe,Nocturnal,2,4,Cheirogaleus,crossleyi,2,0,2,NA,NA,1.570796327,20
Androfiabe,Nocturnal,1,4,Microcebus,lehilahytsara,1,0,1,NA,NA,1.570796327,4
Androfiabe,Nocturnal,3,4,Cheirogaleus,crossleyi,1,0,1,NA,NA,0.523598776,25
Androfiabe,Nocturnal,3,4,Lepilemur,seali,1,0,1,NA,NA,0,0
Betaolana,Diurnal,3,3,Eulemur,albifrons,NA,NA,NA,NA,NA,NA,NA
Betaolana,Diurnal,2,3,Eulemur,albifrons,2,0,2,1,1,1.396263402,25
Ambavala,Diurnal,1,3,Eulemur,albifrons,6,0,6,3,3,0.610865238,8
Befamatra,Diurnal,1,3,Eulemur,rubriventer,4,1,3,1,2,1.047197551,10
Befamatra,Diurnal,3,3,Eulemur,albifrons,7,1,6,3,3,1.221730476,13
Ambodivoara,Diurnal,2,4,Eulemur,albifrons,6,1,5,2,3,0.523598776,20
Ambodivoara,Diurnal,1,3,Propithecus,candidus,3,1,2,1,1,0.34906585,25
Befamatra,Diurnal,1,1,Eulemur,rubriventer,4,NA,NA,1,3,0.523598776,50
Betaolana,Diurnal,3,4,Propithecus,candidus,2,0,2,1,1,0.698131701,10
Ambodivoara,Diurnal,5,2,Eulemur,rubriventer,4,1,3,1,2,0.34906585,10
Ambodihasina,Diurnal,1,1,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,2,2,NA,NA,0,0,0,0,0,NA,NA
Ambodimandresy,Diurnal,2,1,NA,NA,NA,NA,NA,NA,NA,NA,15
Befamatra,Diurnal,1,1,Propithecus,candidus,NA,NA,NA,NA,NA,NA,NA
Androfiabe,Diurnal,3,1,NA,NA,0,0,0,0,0,NA,NA
Betaolana,Diurnal,3,1,NA,NA,0,0,0,0,0,NA,NA
Androfiabe,Diurnal,1,1,NA,NA,0,0,0,0,0,NA,NA
Betaolana,Diurnal,2,1,NA,NA,0,0,0,0,0,NA,NA
Androfiabe,Diurnal,2,1,NA,NA,0,0,0,0,0,NA,NA
Betaolana,Diurnal,1,1,NA,NA,0,0,0,0,0,NA,NA
Betaolana,Diurnal,2,2,NA,NA,0,0,0,0,0,NA,NA
Ambodihasina,Diurnal,3,1,NA,NA,0,0,0,0,0,NA,NA
Befamatra,Nocturnal,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodimandresy,Nocturnal,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,2,3,NA,NA,0,0,0,0,0,NA,NA
Befamatra,Diurnal,3,1,Propithecus,candidus,NA,NA,NA,NA,NA,NA,NA
Befamatra,Diurnal,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Betaolana,Diurnal,1,2,NA,NA,5,1,4,2,3,1.047197551,15
Ambodivoara,Diurnal,5,3,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,1,2,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,1,4,NA,NA,0,0,0,0,0,NA,NA
Betaolana,Diurnal,1,5,NA,NA,0,0,0,0,0,NA,NA
Betaolana,Diurnal,2,4,NA,NA,0,0,0,0,0,1.047197551,30
Androfiabe,Diurnal,1,2,NA,NA,0,0,0,0,0,1.396263402,12
Androfiabe,Diurnal,3,2,NA,NA,0,0,0,0,0,NA,NA
Androfiabe,Diurnal,1,3,NA,NA,0,0,0,0,0,NA,NA
Androfiabe,Diurnal,2,3,NA,NA,0,0,0,0,0,NA,NA
Androfiabe,Diurnal,3,3,NA,NA,0,0,0,0,0,NA,NA
Androfiabe,Diurnal,2,4,NA,NA,0,0,0,0,0,NA,NA
Androfiabe,Diurnal,1,4,NA,NA,0,0,0,0,0,NA,NA
Androfiabe,Diurnal,3,4,NA,NA,0,0,0,0,0,NA,NA
Befamatra,Diurnal,3,2,NA,NA,NA,NA,NA,NA,NA,1.047197551,10
Befamatra,Diurnal,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Befamatra,Diurnal,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Befamatra,Diurnal,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Befamatra,Diurnal,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Befamatra,Diurnal,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodihasina,Diurnal,2,1,NA,NA,0,0,0,0,0,NA,NA
Ambodihasina,Diurnal,3,3,NA,NA,0,0,0,0,0,NA,NA
Ambodihasina,Diurnal,1,4,NA,NA,O,0,0,0,0,NA,NA
Ambodihasina,Diurnal,2,2,NA,NA,0,0,0,0,0,NA,NA
Ambodihasina,Diurnal,3,4,NA,NA,0,0,0,0,0,NA,NA
Ambodimandresy,Diurnal,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodimandresy,Diurnal,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodimandresy,Diurnal,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodimandresy,Diurnal,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodimandresy,Diurnal,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodimandresy,Diurnal,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodimandresy,Diurnal,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodimandresy,Diurnal,2,4,NA,NA,NA,NA,NA,NA,NA,NA,10
Ambodimandresy,Diurnal,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodihasina,Diurnal,2,3,NA,NA,0,0,0,0,0,NA,NA
Ambodihasina,Diurnal,2,4,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Nocturnal,5,1,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Nocturnal,1,2,NA,NA,NA,NA,NA,NA,NA,0.785398163,6
Androfiabe,Nocturnal,3,1,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,4,39,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,3,38,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,2,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,2,41,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,4,37,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,4,38,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,1,45,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,4,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,1,46,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,4,41,NA,NA,0,0,0,NA,NA,NA,NA
Ambodivoara,Diurnal,4,35,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,2,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,4,30,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,diurnal,2,38,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,4,27,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,2,40,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,4,28,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,3,37,NA,NA,0,0,0,0,0,NA,NA
Antanambe,Diurnal,1,1,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,2,1,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,3,1,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,3,2,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,1,2,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,1,3,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,2,3,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,2,4,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,3,3,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,1,4,NA,,0,0,NA,0,0,NA,NA
Antanambe,Diurnal,3,4,NA,,0,0,NA,0,0,NA,NA
Ambodivoara,Diurnal,1,30,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,1,31,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,1,32,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,2,28,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,1,32,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,2,30,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,3,25,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,2,31,Eulemur,rubriventer,2,0,2,1,1,5.410520681,15
Ambodivoara,Diurnal,1,35,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,1,37,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,1,38,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,2,33,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,1,39,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,4,24,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,4,31,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,2,34,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ambodivoara,Diurnal,1,43,NA,NA,0,0,0,0,0,NA,NA
Ambodivoara,Diurnal,4,34,NA,NA,0,0,0,0,0,NA,NA
